1						0.73167
2						0.50429
3						0.41037
4						0.36858
5						0.34335
6						0.33302
7						0.30366
8						0.32639
9						0.33101
10						0.31614
11						0.23997
12						0.16168
13						0.19434
14						0.2492
15						0.31522
16						0.38145
17						0.43509
18						0.43767
19						0.41567
20						0.41751
21						0.44701
22						0.45542
23						0.50124
24						0.61384
25						0.59418
26						0.59477
27						0.5493
28						0.62649
29						0.65756
30						0.60907
31						0.58363
32						0.52597
33						0.54365
34						0.50896
35						0.46467
36						0.32298
37						0.34323
38						0.34321
39						0.29854
40						0.2246
41						0.18078
42						0.18396
43						0.15241
44						0.12727
45						0.14069
46						0.12773
47						0.1476
48						0.10216
49						0.07364
50						0.06428
51						0.05926
52						0.06053
53						0.05338
54						0.0494
55						0.04528
56						0.05268
57						0.05634
58						0.03254
59						0.02908
60						0.0178
61						0.05625
62						0.0229
63						0.03946
64						0.0346
65						0.0328
66						0.01999
67						0.02039
68						0.03747
69						0.02024

