1						3.37115
2						0.69364
3						0.43659
4						0.45803
5						0.30883
6						0.29362
7						0.27098
8						0.23766
9						0.21673
10						0.18731
11						0.15734
12						0.48066
13						0.57081
14						0.57529
15						0.5123
16						0.149
17						0.14673
18						0.16176
19						0.15052
20						0.15601
21						0.14967
22						0.0841
23						0.03791
24						0.05579
25						0.0405
26						0.0329
27						0.12119
28						0.08919
29						0.04161
30						0.0304
31						0.0437
32						0.04362
33						0.05027
34						0.03514
35						0.0244

