1						2.98243
2						1.51109
3						1.03237
4						0.91817
5						0.91404
6						0.90211
7						1.05109
8						0.93609
9						1.10028
10						0.89411
11						1.12268
12						1.2545
13						1.39216
14						1.47461
15						1.37865
16						1.41777
17						1.66082
18						1.58061
19						1.46088
20						1.57893
21						1.8146
22						1.82477
23						1.78366
24						1.74228
25						1.52734
26						1.56851
27						1.66475
28						1.72519
29						1.76763
30						1.78699
31						1.75339
32						1.66871
33						1.73723
34						1.77379
35						1.38979
36						1.52452
37						1.47704
38						1.11639
39						1.19688
40						0.52504
41						0.95996
42						1.08903
43						1.09177
44						0.83334
45						0.65839
46						0.54062
47						0.4641
48						0.44259
49						0.35303
50						0.25483
51						0.25897
52						0.26138
53						0.26476
54						0.19117
55						0.14523
56						0.12222
57						0.12663
58						0.07992
59						0.08712
60						0.05726
61						0.04447
62						0.03054
63						0.01319

